From: ICD-10 4th Edition code	Code Description	To: ICD-10 Reprinted (with updates and corrections) 2000 code	Notes	Target Different to Source?	ICD 3char/4char/5char
B04.X	Monkeypox	B04.X		N	3
B05	Measles	B05		N	3
B05.0D	Measles complicated by encephalitis	B05.0D	Associated asterisk code G05.1 	N	4
B05.1D	Measles complicated by meningitis	B05.1D	Associated asterisk code G02.0 	N	4
B05.2D	Measles complicated by pneumonia	B05.2D	Associated asterisk code J17.1 	N	4
B05.3D	Measles complicated by otitis media	B05.3D	Associated asterisk code H67.1 	N	4
B05.4	Measles with intestinal complications	B05.4		N	4
B05.8	Measles with other complications	B05.8		N	4
B05.9	Measles without complication	B05.9		N	4
B06	Rubella [German measles]	B06		N	3
B06.0D	Rubella with neurological complications	B06.0D		N	4
B06.8	Rubella with other complications	B06.8		N	4
B06.9	Rubella without complication	B06.9		N	4
B07.X	Viral warts	B07.X		N	3
B08	Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified	B08		N	3
B08.0	Other orthopoxvirus infections	B08.0		N	4
B08.1	Molluscum contagiosum	B08.1		N	4
B08.2	Exanthema subitum [sixth disease]	B08.2		N	4
B08.3	Erythema infectiosum [fifth disease]	B08.3		N	4
B08.4	Enteroviral vesicular stomatitis with exanthem	B08.4		N	4
B08.5	Enteroviral vesicular pharyngitis	B08.5		N	4
B08.8	Other specified viral infections characterized by skin and mucous membrane lesions	B08.8		N	4
B09.X	Unspecified viral infection characterized by skin and mucous membrane lesions	B09.X		N	3
B15	Acute hepatitis A	B15		N	3
B15.0	Hepatitis A with hepatic coma	B15.0		N	4
B15.9	Hepatitis A without hepatic coma	B15.9		N	4
B16	Acute hepatitis B	B16		N	3
B16.0	Acute hepatitis B with delta-agent (coinfection) with hepatic coma	B16.0		N	4
B16.1	Acute hepatitis B with delta-agent (coinfection) without hepatic coma	B16.1		N	4
B16.2	Acute hepatitis B without delta-agent with hepatic coma	B16.2		N	4
B16.9	Acute hepatitis B without delta-agent and without hepatic coma	B16.9		N	4
B17	Other acute viral hepatitis	B17		N	3
B17.0	Acute delta-(super)infection of hepatitis B carrier	B17.0		N	4
B17.1	Acute hepatitis C	B17.1		N	4
B17.2	Acute hepatitis E	B17.2		N	4
B17.8	Other specified acute viral hepatitis	B17.8		N	4
B17.9	Acute viral hepatitis, unspecified	B19.0 or B19.9		Y	4
B18	Chronic viral hepatitis	B18		N	3
B18.0	Chronic viral hepatitis B with delta-agent	B18.0		N	4
B18.1	Chronic viral hepatitis B without delta-agent	B18.1		N	4
B18.2	Chronic viral hepatitis C	B18.2		N	4
B18.8	Other chronic viral hepatitis	B18.8		N	4
B18.9	Chronic viral hepatitis, unspecified	B18.9		N	4
B19	Unspecified viral hepatitis	B19		N	3
B19.0	Unspecified viral hepatitis with hepatic coma	B19.0		N	4
B19.9	Unspecified viral hepatitis without hepatic coma	B19.9		N	4
B20	Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases	B20		N	3
B20.0	HIV disease resulting in mycobacterial infection	B20.0		N	4
B20.1	HIV disease resulting in other bacterial infections	B20.1		N	4
B20.2	HIV disease resulting in cytomegaloviral disease	B20.2		N	4
B20.3	HIV disease resulting in other viral infections	B20.3		N	4
B20.4	HIV disease resulting in candidiasis	B20.4		N	4
B20.5	HIV disease resulting in other mycoses	B20.5		N	4
B20.6	HIV disease resulting in Pneumocystis jirovecii pneumonia	B20.6		N	4
B20.7	HIV disease resulting in multiple infections	B20.7		N	4
B20.8	HIV disease resulting in other infectious and parasitic diseases	B20.8		N	4
B20.9	HIV disease resulting in unspecified infectious or parasitic disease	B20.9		N	4
B21	Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms	B21		N	3
B21.0	HIV disease resulting in Kaposi sarcoma	B21.0		N	4
B21.1	HIV disease resulting in Burkitt lymphoma	B21.1		N	4
B21.2	HIV disease resulting in other types of non-Hodgkin lymphoma	B21.2		N	4
B21.3	HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue	B21.3		N	4
B21.7	HIV disease resulting in multiple malignant neoplasms	B21.7		N	4
B21.8	HIV disease resulting in other malignant neoplasms	B21.8		N	4
B21.9	HIV disease resulting in unspecified malignant neoplasm	B21.9		N	4
B22	Human immunodeficiency virus [HIV] disease resulting in other specified diseases	B22		N	3
B22.0	HIV disease resulting in encephalopathy	B22.0		N	4
B22.1	HIV disease resulting in lymphoid interstitial pneumonitis	B22.1		N	4
B22.2	HIV disease resulting in wasting syndrome	B22.2		N	4
B22.7	HIV disease resulting in multiple diseases classified elsewhere	B22.7		N	4
B23	Human immunodeficiency virus [HIV] disease resulting in other conditions	B23		N	3
B23.0	Acute HIV infection syndrome	B23.0		N	4
B23.1	HIV disease resulting in (persistent) generalized lymphadenopathy	B23.1		N	4
B23.2	HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified	B23.2		N	4
B23.8	HIV disease resulting in other specified conditions	B23.8		N	4
B24.X	Unspecified human immunodeficiency virus [HIV] disease	B24.X		N	3
B25	Cytomegaloviral disease	B25		N	3
B25.0D	Cytomegaloviral pneumonitis	B25.0D	Associated asterisk code J17.1 	N	4
B25.1D	Cytomegaloviral hepatitis	B25.1D	Associated asterisk code K77.0 	N	4
B25.2D	Cytomegaloviral pancreatitis	B25.2D	Associated asterisk code K87.1 	N	4
B25.8	Other cytomegaloviral diseases	B25.8		N	4
B25.9	Cytomegaloviral disease, unspecified	B25.9		N	4
B26	Mumps	B26		N	3
B26.0D	Mumps orchitis	B26.0D	Associated asterisk code N51.1 	N	4
B26.1D	Mumps meningitis	B26.1D	Associated asterisk code G02.0 	N	4
B26.2D	Mumps encephalitis	B26.2D	Associated asterisk code G05.1 	N	4
B26.3D	Mumps pancreatitis	B26.3D	Associated asterisk code K87.1 	N	4
B26.8	Mumps with other complications	B26.8		N	4
B26.9	Mumps without complication	B26.9		N	4
B27	Infectious mononucleosis	B27		N	3
B27.0	Gammaherpesviral mononucleosis	B27.0		N	4
B27.1	Cytomegaloviral mononucleosis	B27.1		N	4
B27.8	Other infectious mononucleosis	B27.8		N	4
B27.9	Infectious mononucleosis, unspecified	B27.9		N	4
B30	Viral conjunctivitis	B30		N	3
B30.0D	Keratoconjunctivitis due to adenovirus	B30.0D	Associated asterisk code H19.2 	N	4
B30.1D	Conjunctivitis due to adenovirus	B30.1D	Associated asterisk code H13.1 	N	4
B30.2	Viral pharyngoconjunctivitis	B30.2		N	4
B30.3D	Acute epidemic haemorrhagic conjunctivitis (enteroviral)	B30.3D	Associated asterisk code H13.1 	N	4
B30.8D	Other viral conjunctivitis	B30.8D	Associated asterisk code H13.1 	N	4
B30.9	Viral conjunctivitis, unspecified	B30.9		N	4
B33	Other viral diseases, not elsewhere classified	B33		N	3
B33.0	Epidemic myalgia	B33.0		N	4
B33.1	Ross River disease	B33.1		N	4
B33.2	Viral carditis	B33.2		N	4
B33.3	Retrovirus infections, not elsewhere classified	B33.3		N	4
B33.4D	Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS]	B33.8	Associated asterisk code J17.1 	Y	4
B33.8	Other specified viral diseases	B33.8		N	4
B34	Viral infection of unspecified site	B34		N	3
B34.0	Adenovirus infection, unspecified site	B34.0		N	4
B34.1	Enterovirus infection, unspecified site	B34.1		N	4
B34.2	Coronavirus infection, unspecified site	B34.2		N	4
B34.3	Parvovirus infection, unspecified site	B34.3		N	4
B34.4	Papovavirus infection, unspecified site	B34.4		N	4
B34.8	Other viral infections of unspecified site	B34.8		N	4
B34.9	Viral infection, unspecified	B34.9		N	4
B35	Dermatophytosis	B35		N	3
B35.0	Tinea barbae and tinea capitis	B35.0		N	4
B35.1	Tinea unguium	B35.1		N	4
B35.2	Tinea manuum	B35.2		N	4
B35.3	Tinea pedis	B35.3		N	4
B35.4	Tinea corporis	B35.4		N	4
B35.5	Tinea imbricata	B35.5		N	4
B35.6	Tinea cruris	B35.6		N	4
B35.8	Other dermatophytoses	B35.8		N	4
B35.9	Dermatophytosis, unspecified	B35.9		N	4
B36	Other superficial mycoses	B36		N	3
B36.0	Pityriasis versicolor	B36.0		N	4
B36.1	Tinea nigra	B36.1		N	4
B36.2	White piedra	B36.2		N	4
B36.3	Black piedra	B36.3		N	4
B36.8	Other specified superficial mycoses	B36.8		N	4
B36.9	Superficial mycosis, unspecified	B36.9		N	4
B37	Candidiasis	B37		N	3
B37.0	Candidal stomatitis	B37.0		N	4
B37.1	Pulmonary candidiasis	B37.1		N	4
B37.2	Candidiasis of skin and nail	B37.2		N	4
B37.3D	Candidiasis of vulva and vagina	B37.3D	Associated asterisk code N77.1 	N	4
B37.4	Candidiasis of other urogenital sites	B37.4D		Y	4
B37.5D	Candidal meningitis	B37.5D	Associated asterisk code G02.1 	N	4
B37.6D	Candidal endocarditis	B37.6D	Associated asterisk code I39.8 	N	4
B37.7	Candidal sepsis	B37.7		N	4
B37.8	Candidiasis of other sites	B37.8		N	4
B37.9	Candidiasis, unspecified	B37.9		N	4
B38	Coccidioidomycosis	B38		N	3
B38.0	Acute pulmonary coccidioidomycosis	B38.0		N	4
B38.1	Chronic pulmonary coccidioidomycosis	B38.1		N	4
B38.2	Pulmonary coccidioidomycosis, unspecified	B38.2		N	4
B38.3	Cutaneous coccidioidomycosis	B38.3		N	4
B38.4D	Coccidioidomycosis meningitis	B38.4D	Associated asterisk code G02.1 	N	4
B38.7	Disseminated coccidioidomycosis	B38.7		N	4
B38.8	Other forms of coccidioidomycosis	B38.8		N	4
B38.9	Coccidioidomycosis, unspecified	B38.9		N	4
B39	Histoplasmosis	B39		N	3
B39.0	Acute pulmonary histoplasmosis capsulati	B39.0		N	4
B39.1	Chronic pulmonary histoplasmosis capsulati	B39.1		N	4
B39.2	Pulmonary histoplasmosis capsulati, unspecified	B39.2		N	4
B39.3	Disseminated histoplasmosis capsulati	B39.3		N	4
B39.4	Histoplasmosis capsulati, unspecified	B39.4		N	4
B39.5	Histoplasmosis duboisii	B39.5		N	4
B39.9	Histoplasmosis, unspecified	B39.9		N	4
B40	Blastomycosis	B40		N	3
B40.0	Acute pulmonary blastomycosis	B40.0		N	4
B40.1	Chronic pulmonary blastomycosis	B40.1		N	4
B40.2	Pulmonary blastomycosis, unspecified	B40.2		N	4
B40.3	Cutaneous blastomycosis	B40.3		N	4
B40.7	Disseminated blastomycosis	B40.7		N	4
B40.8	Other forms of blastomycosis	B40.8		N	4
B40.9	Blastomycosis, unspecified	B40.9		N	4
B41	Paracoccidioidomycosis	B41		N	3
B41.0	Pulmonary paracoccidioidomycosis	B41.0		N	4
B41.7	Disseminated paracoccidioidomycosis	B41.7		N	4
B41.8	Other forms of paracoccidioidomycosis	B41.8		N	4
B41.9	Paracoccidioidomycosis, unspecified	B41.9		N	4
B42	Sporotrichosis	B42		N	3
B42.0D	Pulmonary sporotrichosis	B42.0D	Associated asterisk code J99.8 	N	4
B42.1	Lymphocutaneous sporotrichosis	B42.1		N	4
B42.7	Disseminated sporotrichosis	B42.7		N	4
B42.8	Other forms of sporotrichosis	B42.8		N	4
B42.9	Sporotrichosis, unspecified	B42.9		N	4
B43	Chromomycosis and phaeomycotic abscess	B43		N	3
B43.0	Cutaneous chromomycosis	B43.0		N	4
B43.1	Phaeomycotic brain abscess	B43.1		N	4
B43.2	Subcutaneous phaeomycotic abscess and cyst	B43.2		N	4
B43.8	Other forms of chromomycosis	B43.8		N	4
B43.9	Chromomycosis, unspecified	B43.9		N	4
B44	Aspergillosis	B44		N	3
B44.0	Invasive pulmonary aspergillosis	B44.0		N	4
B44.1	Other pulmonary aspergillosis	B44.1		N	4
B44.2	Tonsillar aspergillosis	B44.2		N	4
B44.7	Disseminated aspergillosis	B44.7		N	4
B44.8	Other forms of aspergillosis	B44.8		N	4
B44.9	Aspergillosis, unspecified	B44.9		N	4
B45	Cryptococcosis	B45		N	3
B45.0	Pulmonary cryptococcosis	B45.0		N	4
B45.1	Cerebral cryptococcosis	B45.1		N	4
B45.2	Cutaneous cryptococcosis	B45.2		N	4
B45.3	Osseous cryptococcosis	B45.3		N	4
B45.7	Disseminated cryptococcosis	B45.7		N	4
B45.8	Other forms of cryptococcosis	B45.8		N	4
B45.9	Cryptococcosis, unspecified	B45.9		N	4
B46	Zygomycosis	B46		N	3
B46.0	Pulmonary mucormycosis	B46.0		N	4
B46.1	Rhinocerebral mucormycosis	B46.1		N	4
B46.2	Gastrointestinal mucormycosis	B46.2		N	4
B46.3	Cutaneous mucormycosis	B46.3		N	4
B46.4	Disseminated mucormycosis	B46.4		N	4
B46.5	Mucormycosis, unspecified	B46.5		N	4
B46.8	Other zygomycoses	B46.8		N	4
B46.9	Zygomycosis, unspecified	B46.9		N	4
B47	Mycetoma	B47		N	3
B47.0	Eumycetoma	B47.0		N	4
B47.1	Actinomycetoma	B47.1		N	4
B47.9	Mycetoma, unspecified	B47.9		N	4
B48	Other mycoses, not elsewhere classified	B48		N	3
B48.0	Lobomycosis	B48.0		N	4
B48.1	Rhinosporidiosis	B48.1		N	4
B48.2	Allescheriasis	B48.2		N	4
B48.3	Geotrichosis	B48.3		N	4
B48.4	Penicillosis	B48.4		N	4
B48.7	Opportunistic mycoses	B48.7		N	4
B48.8	Other specified mycoses	B48.8		N	4
B49.X	Unspecified mycosis	B49.X		N	3
B50	Plasmodium falciparum malaria	B50		N	3
B50.0	Plasmodium falciparum malaria with cerebral complications	B50.0		N	4
B50.8	Other severe and complicated Plasmodium falciparum malaria	B50.8		N	4
B50.9	Plasmodium falciparum malaria, unspecified	B50.9		N	4
B51	Plasmodium vivax malaria	B51		N	3
B51.0	Plasmodium vivax malaria with rupture of spleen	B51.0		N	4
B51.8	Plasmodium vivax malaria with other complications	B51.8		N	4
B51.9	Plasmodium vivax malaria without complication	B51.9		N	4
B52	Plasmodium malariae malaria	B52		N	3
B52.0	Plasmodium malariae malaria with nephropathy	B52.0		N	4
B52.8	Plasmodium malariae malaria with other complications	B52.8		N	4
B52.9	Plasmodium malariae malaria without complication	B52.9		N	4
B53	Other parasitologically confirmed malaria	B53		N	3
B53.0	Plasmodium ovale malaria	B53.0		N	4
B53.1	Malaria due to simian plasmodia	B53.1		N	4
B53.8	Other parasitologically confirmed malaria, not elsewhere classified	B53.8		N	4
B54.X	Unspecified malaria	B54.X		N	3
B55	Leishmaniasis	B55		N	3
B55.0	Visceral leishmaniasis	B55.0		N	4
B55.1	Cutaneous leishmaniasis	B55.1		N	4
B55.2	Mucocutaneous leishmaniasis	B55.2		N	4
B55.9	Leishmaniasis, unspecified	B55.9		N	4
B56	African trypanosomiasis	B56		N	3
B56.0	Gambiense trypanosomiasis	B56.0		N	4
B56.1	Rhodesiense trypanosomiasis	B56.1		N	4
B56.9	African trypanosomiasis, unspecified	B56.9		N	4
B57	Chagas' disease	B57		N	3
B57.0D	Acute Chagas' disease with heart involvement	B57.0D	Associated asterisk code I41.2, I98.1 	N	4
B57.1	Acute Chagas' disease without heart involvement	B57.1		N	4
B57.2	Chagas' disease (chronic) with heart involvement	(B57.2D + I41.2A) or (B57.2D + I98.1A)		Y	4
B57.3	Chagas' disease (chronic) with digestive system involvement	B57.3		N	4
B57.4	Chagas' disease (chronic) with nervous system involvement	B57.4		N	4
B57.5	Chagas' disease (chronic) with other organ involvement	B57.5		N	4
B58	Toxoplasmosis	B58		N	3
B58.0D	Toxoplasma oculopathy	B58.0D		N	4
B58.1D	Toxoplasma hepatitis	B58.1D	Associated asterisk code K77.0 	N	4
B58.2D	Toxoplasma meningoencephalitis	B58.2D	Associated asterisk code G05.2 	N	4
B58.3D	Pulmonary toxoplasmosis	B58.3D	Associated asterisk code J17.3 	N	4
B58.8	Toxoplasmosis with other organ involvement	B58.8		N	4
B58.9	Toxoplasmosis, unspecified	B58.9		N	4
B59.XD	Pneumocystosis	B59.X	Associated asterisk code J17.3 	Y	3
B60	Other protozoal diseases, not elsewhere classified	B60		N	3
B60.0	Babesiosis	B60.0		N	4
B60.1	Acanthamoebiasis	B60.1		N	4
B60.2	Naegleriasis	B60.2		N	4
B60.8	Other specified protozoal diseases	B60.8		N	4
B64.X	Unspecified protozoal disease	B64.X		N	3
B65	Schistosomiasis [bilharziasis]	B65		N	3
B65.0	Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]	B65.0		N	4
B65.1	Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]	B65.1		N	4
B65.2	Schistosomiasis due to Schistosoma japonicum	B65.2		N	4
B65.3	Cercarial dermatitis	B65.3		N	4
B65.8	Other schistosomiases	B65.8		N	4
B65.9	Schistosomiasis, unspecified	B65.9		N	4
B66	Other fluke infections	B66		N	3
B66.0	Opisthorchiasis	B66.0		N	4
B66.1	Clonorchiasis	B66.1		N	4
B66.2	Dicrocoeliasis	B66.2		N	4
B66.3	Fascioliasis	B66.3		N	4
B66.4	Paragonimiasis	B66.4		N	4
B66.5	Fasciolopsiasis	B66.5		N	4
B66.8	Other specified fluke infections	B66.8		N	4
B66.9	Fluke infection, unspecified	B66.9		N	4
B67	Echinococcosis	B67		N	3
B67.0	Echinococcus granulosus infection of liver	B67.0		N	4
B67.1	Echinococcus granulosus infection of lung	B67.1		N	4
B67.2	Echinococcus granulosus infection of bone	B67.2		N	4
B67.3	Echinococcus granulosus infection, other and multiple sites	B67.3		N	4
B67.4	Echinococcus granulosus infection, unspecified	B67.4 or B71.1		Y	4
B67.5	Echinococcus multilocularis infection of liver	B67.5		N	4
B67.6	Echinococcus multilocularis infection, other and multiple sites	B67.6		N	4
B67.7	Echinococcus multilocularis infection, unspecified	B67.7		N	4
B67.8	Echinococcosis, unspecified, of liver	B67.8		N	4
B67.9	Echinococcosis, other and unspecified	B67.9		N	4
B68	Taeniasis	B68		N	3
B68.0	Taenia solium taeniasis	B68.0		N	4
B68.1	Taenia saginata taeniasis	B68.1		N	4
B68.9	Taeniasis, unspecified	B68.9		N	4
B69	Cysticercosis	B69		N	3
B69.0	Cysticercosis of central nervous system	B69.0		N	4
B69.1	Cysticercosis of eye	B69.1		N	4
B69.8	Cysticercosis of other sites	B69.8		N	4
B69.9	Cysticercosis, unspecified	B69.9		N	4
B70	Diphyllobothriasis and sparganosis	B70		N	3
B70.0	Diphyllobothriasis	B70.0		N	4
B70.1	Sparganosis	B70.1		N	4
B71	Other cestode infections	B71		N	3
B71.0	Hymenolepiasis	B71.0		N	4
B71.1	Dipylidiasis	B71.1		N	4
B71.8	Other specified cestode infections	B71.8		N	4
B71.9	Cestode infection, unspecified	B71.9		N	4
B72.X	Dracunculiasis	B72.X		N	3
B73.X	Onchocerciasis	B73.X		N	3
B74	Filariasis	B74		N	3
B74.0	Filariasis due to Wuchereria bancrofti	B74.0		N	4
B74.1	Filariasis due to Brugia malayi	B74.1		N	4
B74.2	Filariasis due to Brugia timori	B74.2		N	4
B74.3	Loiasis	B74.3		N	4
B74.4	Mansonelliasis	B74.4		N	4
B74.8	Other filariases	B74.8		N	4
B74.9	Filariasis, unspecified	B74.9		N	4
B75.X	Trichinellosis	B75.X		N	3
B76	Hookworm diseases	B76		N	3
B76.0	Ancylostomiasis	B76.0		N	4
B76.1	Necatoriasis	B76.1		N	4
B76.8	Other hookworm diseases	B76.8		N	4
B76.9	Hookworm disease, unspecified	B76.9		N	4
B77	Ascariasis	B77		N	3
B77.0	Ascariasis with intestinal complications	B77.0		N	4
B77.8	Ascariasis with other complications	B77.8		N	4
B77.9	Ascariasis, unspecified	B77.9		N	4
B78	Strongyloidiasis	B78		N	3
B78.0	Intestinal strongyloidiasis	B78.0		N	4
B78.1	Cutaneous strongyloidiasis	B78.1		N	4
B78.7	Disseminated strongyloidiasis	B78.7		N	4
B78.9	Strongyloidiasis, unspecified	B78.9		N	4
B79.X	Trichuriasis	B79.X		N	3
B80.X	Enterobiasis	B80.X		N	3
B81	Other intestinal helminthiases, not elsewhere classified	B81		N	3
B81.0	Anisakiasis	B81.0		N	4
B81.1	Intestinal capillariasis	B81.1		N	4
B81.2	Trichostrongyliasis	B81.2		N	4
B81.3	Intestinal angiostrongyliasis	B81.3		N	4
B81.4	Mixed intestinal helminthiases	B81.4		N	4
B81.8	Other specified intestinal helminthiases	B81.8		N	4
B82	Unspecified intestinal parasitism	B82		N	3
B82.0	Intestinal helminthiasis, unspecified	B82.0		N	4
B82.9	Intestinal parasitism, unspecified	B82.9		N	4
B83	Other helminthiases	B83		N	3
B83.0	Visceral larva migrans	B83.0		N	4
B83.1	Gnathostomiasis	B83.1		N	4
B83.2	Angiostrongyliasis due to Parastrongylus cantonensis	B83.2 or B83.8		Y	4
B83.3	Syngamiasis	B83.3		N	4
B83.4	Internal hirudiniasis	B83.4		N	4
B83.8	Other specified helminthiases	B83.8		N	4
B83.9	Helminthiasis, unspecified	B83.9		N	4
B85	Pediculosis and phthiriasis	B85		N	3
B85.0	Pediculosis due to Pediculus humanus capitis	B85.0		N	4
B85.1	Pediculosis due to Pediculus humanus corporis	B85.1		N	4
B85.2	Pediculosis, unspecified	B85.2		N	4
B85.3	Phthiriasis	B85.3		N	4
B85.4	Mixed pediculosis and phthiriasis	B85.4		N	4
B86.X	Scabies	B86.X		N	3
B87	Myiasis	B87		N	3
B87.0	Cutaneous myiasis	B87.0		N	4
B87.1	Wound myiasis	B87.1		N	4
B87.2	Ocular myiasis	B87.2		N	4
B87.3	Nasopharyngeal myiasis	B87.3		N	4
B87.4	Aural myiasis	B87.4		N	4
B87.8	Myiasis of other sites	B87.8		N	4
B87.9	Myiasis, unspecified	B87.9		N	4
B88	Other infestations	B88		N	3
B88.0	Other acariasis	B88.0		N	4
B88.1	Tungiasis [sandflea infestation]	B88.1		N	4
B88.2	Other arthropod infestations	B88.2		N	4
B88.3	External hirudiniasis	B88.3		N	4
B88.8	Other specified infestations	B88.8		N	4
B88.9	Infestation, unspecified	B88.9		N	4
B89.X	Unspecified parasitic disease	B89.X		N	3
B90	Sequelae of tuberculosis	B90		N	3
B90.0	Sequelae of central nervous system tuberculosis	B90.0		N	4
B90.1	Sequelae of genitourinary tuberculosis	B90.1		N	4
B90.2	Sequelae of tuberculosis of bones and joints	B90.2		N	4
B90.8	Sequelae of tuberculosis of other organs	B90.8		N	4
B90.9	Sequelae of respiratory and unspecified tuberculosis	B90.9		N	4
B91.X	Sequelae of poliomyelitis	B91.X		N	3
B92.X	Sequelae of leprosy	B92.X		N	3
B94	Sequelae of other and unspecified infectious and parasitic diseases	B94		N	3
B94.0	Sequelae of trachoma	B94.0		N	4
B94.1	Sequelae of viral encephalitis	B94.1		N	4
B94.2	Sequelae of viral hepatitis	B94.2		N	4
B94.8	Sequelae of other specified infectious and parasitic diseases	B94.8		N	4
B94.9	Sequelae of unspecified infectious or parasitic disease	B94.9		N	4
B95	Streptococcus and staphylococcus as the cause of diseases classified to other chapters	B95		N	3
